,Month,Mean Sea Level [m],STD [m]
0,0.0,6.891222600955469,0.05
1,1.0,6.852833068801017,0.05
2,2.0,6.991130485530615,0.05
3,3.0,6.857202669484576,0.05
4,4.0,6.875503117828144,0.05
5,5.0,6.9493620313868165,0.05
6,6.0,6.824991705075431,0.05
7,7.0,6.8410868422062325,0.05
8,8.0,6.880264186179104,0.05
9,9.0,6.854605876782788,0.05
10,10.0,6.81167649383517,0.05
11,11.0,6.8612862487113855,0.05
12,12.0,6.853803976675206,0.05
13,13.0,6.902134353940247,0.05
14,14.0,6.7889366971206915,0.05
15,15.0,6.837382521494283,0.05
16,16.0,6.930176373637644,0.05
17,17.0,6.965688723309356,0.05
18,18.0,6.797478544847876,0.05
19,19.0,6.905495248061437,0.05
20,20.0,6.824437828040372,0.05
21,21.0,6.830840914350002,0.05
22,22.0,6.830304962707529,0.05
23,23.0,6.852988875196696,0.05
24,24.0,6.924151612784988,0.05
25,25.0,6.910166034767653,0.05
26,26.0,6.877717533169281,0.05
27,27.0,6.856810126868737,0.05
28,28.0,6.875355462724043,0.05
29,29.0,6.87010984825897,0.05
30,30.0,6.915274386119444,0.05
31,31.0,6.844258488441239,0.05
32,32.0,6.875742674291066,0.05
33,33.0,6.871214388909396,0.05
34,34.0,6.873867711741769,0.05
35,35.0,6.889159351997112,0.05
36,36.0,6.886796823405496,0.05
37,37.0,6.943871597349954,0.05
38,38.0,6.873000738108498,0.05
39,39.0,6.955636482879329,0.05
40,40.0,6.862482566933057,0.05
41,41.0,6.854103996911982,0.05
42,42.0,6.88324282699804,0.05
43,43.0,6.896193190962369,0.05
44,44.0,6.892117237451741,0.05
45,45.0,6.943450136083308,0.05
46,46.0,6.936034465639678,0.05
47,47.0,6.904004686388973,0.05
48,48.0,6.862681203310595,0.05
49,49.0,6.874682648736572,0.05
50,50.0,6.95059861673252,0.05
51,51.0,6.8912067717634855,0.05
52,52.0,6.814820758736452,0.05
53,53.0,6.846096503587535,0.05
54,54.0,6.851914453312879,0.05
55,55.0,6.938615703277737,0.05
56,56.0,6.875862615302249,0.05
57,57.0,6.994441503013975,0.05
58,58.0,6.914482487625486,0.05
59,59.0,6.888107205163479,0.05
60,60.0,6.8602970177300495,0.05
61,61.0,6.9309065289499365,0.05
62,62.0,6.870477356137279,0.05
63,63.0,6.841522090364131,0.05
