,Month,Mean Sea Level [m],STD [m]
0,0.0,6.951637898945782,0.05
1,1.0,6.913220153995266,0.05
2,2.0,7.051489357928802,0.05
3,3.0,6.917533329086701,0.05
4,4.0,6.935805564634206,0.05
5,5.0,7.009636265396816,0.05
6,6.0,6.885237726289368,0.05
7,7.0,6.901304650624107,0.05
8,8.0,6.940453781800916,0.05
9,9.0,6.914767259608538,0.05
10,10.0,6.871809663864857,0.05
11,11.0,6.92139120594501,0.05
12,12.0,6.913880721112768,0.05
13,13.0,6.962182885581748,0.05
14,14.0,6.84895701596613,0.05
15,15.0,6.897374627543659,0.05
16,16.0,6.990140266890957,0.05
17,17.0,7.025624403766606,0.05
18,18.0,6.857386012509064,0.05
19,19.0,6.965374502926562,0.05
20,20.0,6.884288870109435,0.05
21,21.0,6.890663743623002,0.05
22,22.0,6.890099579184467,0.05
23,23.0,6.9127552788775715,0.05
24,24.0,6.983889803669801,0.05
25,25.0,6.969876012856403,0.05
26,26.0,6.937399298461968,0.05
27,27.0,6.916463679365362,0.05
28,28.0,6.934980802424605,0.05
29,29.0,6.92970697516347,0.05
30,30.0,6.974843300227882,0.05
31,31.0,6.903799189753615,0.05
32,32.0,6.935255162807379,0.05
33,33.0,6.930698664629646,0.05
34,34.0,6.933323774665958,0.05
35,35.0,6.948587202125237,0.05
36,36.0,6.94619646073756,0.05
37,37.0,7.003243021885955,0.05
38,38.0,6.932343949848437,0.05
39,39.0,7.014951481823204,0.05
40,40.0,6.921769353080871,0.05
41,41.0,6.9133625702637325,0.05
42,42.0,6.942473187553728,0.05
43,43.0,6.955395338721995,0.05
44,44.0,6.951291172415304,0.05
45,45.0,7.0025958582508085,0.05
46,46.0,6.995151975011116,0.05
47,47.0,6.963093982964349,0.05
48,48.0,6.921742287089908,0.05
49,49.0,6.933715519719823,0.05
50,50.0,7.009603274919709,0.05
51,51.0,6.950183217154611,0.05
52,52.0,6.8737689913315165,0.05
53,53.0,6.905016523386536,0.05
54,54.0,6.910806260315817,0.05
55,55.0,6.997479297484612,0.05
56,56.0,6.934697996713063,0.05
57,57.0,7.053248671628726,0.05
58,58.0,6.973261443444175,0.05
59,59.0,6.946857948186105,0.05
60,60.0,6.919019547956613,0.05
61,61.0,6.989600846380438,0.05
62,62.0,6.9291434607717175,0.05
63,63.0,6.900159982202507,0.05
64,64.0,6.9699599277483495,0.05
65,65.0,6.942378344685555,0.05
66,66.0,7.001380602129916,0.05
67,67.0,6.938435036889688,0.05
68,68.0,6.799317441484445,0.05
69,69.0,6.981957297013013,0.05
70,70.0,6.848789069595093,0.05
71,71.0,7.01980105805135,0.05
72,72.0,7.034118624698543,0.05
73,73.0,6.92188595546254,0.05
74,74.0,6.885189566240453,0.05
75,75.0,6.873758097501252,0.05
76,76.0,6.987431666785698,0.05
77,77.0,6.933880163830525,0.05
78,78.0,6.914255213028883,0.05
79,79.0,6.932189361626119,0.05
80,80.0,7.0489732180567595,0.05
81,81.0,6.962080587019703,0.05
82,82.0,6.98220810515538,0.05
83,83.0,6.983954274198349,0.05
84,84.0,6.996217088290038,0.05
85,85.0,6.998550740553451,0.05
86,86.0,6.910146983257726,0.05
87,87.0,6.9350980524747845,0.05
88,88.0,6.908006564154624,0.05
89,89.0,6.910673555157596,0.05
90,90.0,7.003494240433025,0.05
91,91.0,6.921518213190009,0.05
92,92.0,6.942835559479018,0.05
93,93.0,6.912338947426326,0.05
94,94.0,6.917497262962903,0.05
95,95.0,6.986766435680485,0.05
96,96.0,6.925270175917012,0.05
97,97.0,6.923622803145024,0.05
98,98.0,6.972593832516398,0.05
99,99.0,6.973127452832119,0.05
100,100.0,6.987911354311041,0.05
101,101.0,6.95701558305743,0.05
102,102.0,6.860977454398741,0.05
103,103.0,6.9803664582405105,0.05
104,104.0,6.97395523213449,0.05
105,105.0,7.000132788866149,0.05
106,106.0,6.907089614532447,0.05
107,107.0,7.075640564072552,0.05
108,108.0,6.888168013613081,0.05
109,109.0,6.986322119376176,0.05
110,110.0,6.952459354535242,0.05
111,111.0,6.92599209804301,0.05
112,112.0,6.991342485364844,0.05
113,113.0,6.936651498234871,0.05
114,114.0,6.8341290502367,0.05
115,115.0,6.892733355786829,0.05
116,116.0,6.974167318840095,0.05
117,117.0,7.063369832836034,0.05
118,118.0,6.877595729163862,0.05
119,119.0,6.95099856033972,0.05
120,120.0,7.010062304955289,0.04
121,121.0,6.976494912968662,0.04
122,122.0,6.937382403428288,0.04
123,123.0,6.895717392215934,0.04
124,124.0,6.881535459248032,0.04
125,125.0,6.923052416664232,0.04
126,126.0,6.938419403905793,0.04
127,127.0,6.8633781969959,0.04
128,128.0,6.885783057488393,0.04
129,129.0,6.965863134722852,0.04
130,130.0,6.937544639577453,0.04
131,131.0,6.923898246470956,0.04
132,132.0,6.93797784046776,0.04
133,133.0,6.921960753620037,0.04
134,134.0,6.991753529369411,0.04
135,135.0,7.020438180689923,0.04
136,136.0,7.037971776175886,0.04
137,137.0,6.983606206409809,0.04
138,138.0,6.985287532694887,0.04
139,139.0,7.014112385181875,0.04
140,140.0,7.025313655552889,0.04
141,141.0,7.0145710353491495,0.04
142,142.0,7.00464131318204,0.04
143,143.0,6.930951013964044,0.04
144,144.0,6.89253631078162,0.04
145,145.0,6.991797500413061,0.04
146,146.0,6.953145226967391,0.04
147,147.0,6.954858820514959,0.04
148,148.0,6.921695969526451,0.04
149,149.0,6.905421877811536,0.04
150,150.0,7.013733737682834,0.04
151,151.0,6.976438249604789,0.04
152,152.0,6.915420042069404,0.04
153,153.0,6.973825308154921,0.04
154,154.0,6.970619627709901,0.04
155,155.0,6.979456737422662,0.04
156,156.0,7.048100727348247,0.04
157,157.0,6.957568947737666,0.04
158,158.0,6.90795924148475,0.04
159,159.0,6.960793011423267,0.04
160,160.0,6.933664179331266,0.04
161,161.0,6.981648293214923,0.04
162,162.0,6.968314414970234,0.04
163,163.0,6.973939923736584,0.04
164,164.0,6.937584943975298,0.04
165,165.0,6.977001280028151,0.04
166,166.0,6.940231022439818,0.04
167,167.0,6.981518775859959,0.04
168,168.0,6.948975333524387,0.04
169,169.0,6.916466418396939,0.04
170,170.0,6.98133075758138,0.04
171,171.0,6.9333331948275845,0.04
172,172.0,7.019519330748566,0.04
173,173.0,6.979669474036519,0.04
174,174.0,6.9808465691755535,0.04
175,175.0,6.966379289184528,0.04
176,176.0,6.960138555332175,0.04
177,177.0,6.867231861780554,0.04
178,178.0,7.011773730819294,0.04
179,179.0,6.93051756522275,0.04
180,180.0,7.001511656816286,0.04
181,181.0,6.937907897292676,0.04
182,182.0,6.957910399791652,0.04
183,183.0,6.954855000183478,0.04
184,184.0,6.922469920870448,0.04
185,185.0,6.957328505525691,0.04
186,186.0,6.983437851505578,0.04
187,187.0,6.948004010816631,0.04
188,188.0,6.9141949447028495,0.04
189,189.0,6.942016793176478,0.04
190,190.0,6.975125245042321,0.04
191,191.0,7.011207772658511,0.04
192,192.0,6.998944584653244,0.04
193,193.0,6.977190109172335,0.04
194,194.0,6.926057248402713,0.04
195,195.0,7.0023438160503195,0.04
